transition_id,cik,coname,classification,succ_total,succ_salary,succ_name_parsed,succ_accession,succ_status,pred_total,pred_salary,pred_name_parsed,pred_accession,pred_status,comp_ratio_succ_over_pred
7299,877890,CITRIX SYSTEMS INC,internal,,,David J. Henshall,0001193125-19-118580,ok,,,"Executive Chairman, Former Interim Chief Executive Officer and President",0001193125-17-141979,ok,
4371,804753,CERNER CORP,external,,,Brent Shafer,0000804753-19-000020,ok,,,Neal L. Patterson,0000804753-17-000012,ok,
8648,1136869,ZIMMER BIOMET HOLDINGS INC,external,,,Bryan C. Hanson President and CEO,0001193125-19-088556,ok,,,David C. Dvorak President and CEO,0001193125-17-104268,ok,
1524,40545,GENERAL ELECTRIC CO,internal,,,Chairman & CEO,0001206774-19-000903,ok,,,Jeff Immelt,0001206774-17-000738,ok,
4970,832988,SIGNET JEWELERS LTD,external,,,Virginia C. Drosos,0000832988-19-000025,ok,,,Mark Light,0001628280-17-004879,ok,
8386,1324424,EXPEDIA GROUP INC,internal,,,Mark D. Okerstrom,0001193125-19-277796,ok,,,Dara Khosrowshahi,0001324424-17-000018,ok,
3713,731766,UNITEDHEALTH GROUP INC,internal,,,David S. Wichmann,0001047469-19-002425,ok,,,Stephen J. Hemsley,0001047469-17-002810,ok,
7059,935703,DOLLAR TREE INC,internal,,,​,0001047469-19-002466,ok,,,Bob Sasser,0000935703-17-000014,ok,
1289,33185,EQUIFAX INC,external,,,,0001308179-19-000056,ceo-row-not-found,,,,0001308179-17-000063,ceo-row-not-found,
3916,106640,WHIRLPOOL CORP,internal,,,Marc R. Bitzer President and Chief Executive Officer,0000106640-19-000042,ok,,,Jeff M. Fettig Chairman of the Board and Chief Executive Officer,0000106640-17-000021,ok,
8791,1137789,SEAGATE TECHNOLOGY PLC,internal,,,William D. Mosley,0001193125-19-242005,ok,,,Stephen J. Luczo,0001193125-17-273188,ok,
4608,818479,DENTSPLY SIRONA INC,external,,,,0001193125-19-104529,ok,,,Jeffrey T. Slovin Chief Executive Officer(3),0001571049-17-003553,ok,
3963,783325,WEC ENERGY GROUP INC,external,,,,0000107815-19-000156,ceo-row-not-found,,,Allen L. LeverettPresident and Chief Executive Officer,0000107815-17-000129,ok,
8611,1103982,MONDELEZ INTERNATIONAL INC,external,,,"Van de Put, Dirk",0001564590-19-010015,ok,,,"Rosenfeld, Irene",0001193125-17-098665,ok,
9053,1058090,CHIPOTLE MEXICAN GRILL INC,external,,,,0001193125-19-092659,ceo-row-not-found,,,,0001193125-17-104045,ok,
7139,1001082,DISH NETWORK CORP,internal,,,W. Erik Carlson (3),0001104659-19-016039,ok,,,Charles W. Ergen (3),0001104659-17-018415,ok,
1397,36270,M & T BANK CORP,internal,,,René F. Jones(5),0001564590-19-006629,ok,,,Robert G. Wilmers,0001193125-17-074725,ok,
618,277948,CSX CORP,external,,,James M. Foote President and Chief Executive Officer,0001206774-19-000985,ok,,,Chairman and CEO,0001206774-17-001259,ok,
8041,1039101,L3 TECHNOLOGIES INC,internal,,,,,no-proxy-for-year,,,Michael T. Strianese (Chairman and Chief Executive  Officer),0001567619-17-000516,ok,
3175,754737,SCANA CORP,internal,,,,,no-proxy-for-year,,,,0001558370-17-002100,ceo-row-not-found,
3202,1012100,SEALED AIR CORP,external,,,Edward L. Doheny II,0001193125-19-097192,ok,,,Jerome A. Peribere,0001567619-17-000595,ok,
767,93410,CHEVRON CORP,internal,,,"M.K. Wirth, Chairman and CEO(7)",0001193125-19-106207,ok,,,"J.S. Watson, Chairman and CEO(7)",0001193125-18-112804,ok,
2629,73124,NORTHERN TRUST CORP,internal,,,,0001193125-19-072131,ceo-row-not-found,,,Frederick H. Waddell Chairman,0001193125-18-074335,ok,
3464,96021,SYSCO CORP,internal,,,,0001308179-19-000241,ceo-row-not-found,,,President and Chief Executive Officer,0001308179-18-000271,ok,
660,721371,CARDINAL HEALTH INC,internal,,,Michael C. Kaufmann(3) Chief Executive Officer,0001308179-19-000231,ok,,,Michael C. Kaufmann(4) Chief Executive Officer and Former Chief Financial Officer,0001308179-18-000266,ok,
5921,1585364,PERRIGO CO PLC,external,,,,0001193125-20-087775,ceo-row-not-found,,,John T. Hendrickson,0001193125-18-093372,ok,
8517,1101239,EQUINIX INC,internal,,,Charles Meyers,0001047469-20-002602,ok,,,Stephen Smith Former Chief Executive Officer & President(3),0001193125-18-128801,ok,
5487,743988,XILINX INC,internal,,,•,0000743988-20-000027,ok,,,,0000743988-18-000031,ceo-row-not-found,
6308,1645590,HEWLETT PACKARD ENTERPRISE,internal,,,Antonio F. Neri,0001047469-20-000857,ok,,,​,0001047469-18-000792,ok,
146,4962,AMERICAN EXPRESS CO,internal,,,S.J. Squeri,0001193125-20-083487,ok,,,K.I. Chenault,0001206774-18-000866,ok,
8761,1174922,WYNN RESORTS LTD,internal,,,,0001193125-20-126275,ceo-row-not-found,,,Matt Maddox(5) Chief Executive Officer and President,0001193125-18-121082,ok,
1296,33213,EQT CORP,internal,,,,0001104659-20-080062,ceo-row-not-found,,,,0001104659-18-027302,ceo-row-not-found,
8731,1260221,TRANSDIGM GROUP INC,internal,,,"Kevin Stein,  President and Chief  Executive Officer (5)",0001193125-20-144691,ok,,,"W. Nicholas Howley,  Chairman and CEO",0001193125-18-033306,ok,
479,12659,BLOCK H & R INC,external,,,​,0001140361-20-017104,ok,,,,0001193125-18-235058,ceo-row-not-found,
2132,920760,LENNAR CORP,internal,,,Rick Beckwitt,0001193125-20-049029,ok,,,Stuart Miller,0001193125-18-062032,ok,
2271,63276,MATTEL INC,external,,,Ynon Kreiz Chief Executive Officer,0001206774-20-001316,ok,,,Margaret H. Georgiadis  Chief Executive Officer,0001193125-18-108841,ok,
2834,77360,PENTAIR PLC,internal,,,,0001047469-20-001649,ceo-row-not-found,,,,0001206774-18-000922,ceo-row-not-found,
980,711404,COOPER COMPANIES INC,internal,,,"Albert G. White, III",0001193125-20-024203,ok,,,Robert S. Weiss,0001193125-18-030508,ok,
1140,29905,DOVER CORP,external,,,Richard J. Tobin  President & Chief  Executive Officer,0001193125-20-086942,ok,,,Robert A. Livingston President & Chief Executive Officer,0001193125-18-092116,ok,
